Normal Costs,CUDA Costs,CUDA Cost Diff,Normal Removal,CUDA Removal,Memmove Removal,CUDA Removal Diff,Memmove Removal Diff
43,11,32,2,12,2,10,0
42,10,32,32,104,3,72,+AC0-29
44,11,33,11,36,2,25,+AC0-9
43,10,33,41,137,3,96,+AC0-38
43,10,33,35,116,4,81,+AC0-31
41,11,30,22,78,3,56,+AC0-19
42,10,32,39,131,3,92,+AC0-36
43,10,33,9,31,2,22,+AC0-7
43,11,32,15,48,2,33,+AC0-13
43,10,33,2,5,1,3,+AC0-1
42,10,32,24,82,3,58,+AC0-21
42,11,31,28,98,3,70,+AC0-25
44,10,34,35,118,3,83,+AC0-32
42,11,31,10,35,3,25,+AC0-7
41,11,30,16,55,2,39,+AC0-14
44,11,33,33,108,3,75,+AC0-30
45,10,35,1,26,2,25,1
44,11,33,8,101,3,93,+AC0-5
44,10,34,30,62,2,32,+AC0-28
42,10,32,18,44,3,26,+AC0-15
43,11,32,12,8,2,+AC0-4,+AC0-10
42,11,31,24,84,3,60,+AC0-21
42,10,32,27,89,3,62,+AC0-24
42,11,31,9,28,2,19,+AC0-7
42,11,31,12,42,2,30,+AC0-10
44,10,34,22,135,4,113,+AC0-18
42,11,31,2,75,3,73,1
41,11,30,40,12,2,+AC0-28,+AC0-38
46,10,36,4,126,4,122,0
42,11,31,38,110,3,72,+AC0-35
41,11,30,32,37,2,5,+AC0-30
41,10,31,11,78,3,67,+AC0-8
42,10,32,22,51,2,29,+AC0-20
43,11,32,15,6,2,+AC0-9,+AC0-13
42,11,31,30,106,6,76,+AC0-24
44,8,36,28,91,3,63,+AC0-25
42,11,31,9,33,2,24,+AC0-7
41,10,31,39,130,4,91,+AC0-35
41,10,31,36,120,3,84,+AC0-33
41,11,30,7,27,2,20,+AC0-5
41,10,31,15,50,3,35,+AC0-12
42,11,31,30,99,3,69,+AC0-27
41,11,30,10,37,2,27,+AC0-8
41,10,31,23,78,3,55,+AC0-20
41,10,31,33,111,3,78,+AC0-30
41,11,30,26,87,3,61,+AC0-23
41,10,31,15,10,1,+AC0-5,+AC0-14
41,10,31,2,52,3,50,1
41,11,30,12,44,2,32,+AC0-10
41,10,31,26,81,3,55,+AC0-23
43,10,33,8,29,2,21,+AC0-6
